asset,h,model,sharpe_0bp,sharpe_5bp,sharpe_10bp,sharpe_17bp,sharpe_25bp,sharpe_40bp,sharpe_60bp,sharpe_100bp,breakeven_bp,bh_17bp,beats_bh_at_17bp
BTC,1,ridge,0.9987013570335563,0.8549139553743896,0.7109435494454619,0.5092368051735765,0.2787709677965293,-0.15204439372752956,-0.7205627089304164,-1.8195485887786786,35.0,0.8379134819457903,False
BTC,1,elastic_net,0.8573392784594315,0.7008177622187491,0.5442589068996898,0.3251968217876693,0.07531765242160628,-0.3905381424043948,-1.0026564654426084,-2.176728349953884,27.500000000000004,0.8379134819457903,False
BTC,1,gbm,0.4276910175480609,0.36717583058038744,0.30663879614748013,0.22188311148898315,0.12506913472550565,-0.056078003096781015,-0.2961627762454228,-0.7675329975613789,35.5,0.8379134819457903,False
BTC,7,ridge,0.6710719245309242,0.6405009211478565,0.6099340657585696,0.5671534218368225,0.5182897759461711,0.4267952797298184,0.3051788095238133,0.06394837927723557,111.0,0.7953996994970363,False
BTC,7,elastic_net,0.5971992281824711,0.5707858019572528,0.5443689944929033,0.5073845841347998,0.4651234786852122,0.38593798441763943,0.28056660926572946,0.07112362733686263,114.0,0.7953996994970363,False
BTC,7,gbm,0.8408712238748731,0.8349285919643582,0.8289787387629586,0.8206371359725625,0.8110875523649336,0.7931375189412263,0.7691206431631751,0.7208423508855043,inf,0.7953996994970363,True
ETH,1,ridge,0.2573785330277476,0.12726801562838458,-0.0026999017743891346,-0.18432703709959622,-0.3912855813914292,-0.776943978498397,-1.2845773522253514,-2.2678789204137475,10.0,0.7969157757538758,False
ETH,1,elastic_net,0.4178228242359051,0.26290704026209083,0.10795347032035624,-0.10892712057255886,-0.3565152368089024,-0.8191059632441164,-1.430171107582992,-2.6192767920802313,13.5,0.7969157757538758,False
ETH,1,gbm,1.028522771707954,0.9939639923617939,0.959342479956443,0.9107750015804092,0.8551438334670663,0.7505339047747546,0.6106164345481695,0.33033088465733307,147.5,0.7969157757538758,True
ETH,7,ridge,-0.05820254393414723,-0.07284481084833806,-0.08748384974301392,-0.10797191226449886,-0.13137546274558098,-0.1752159761470769,-0.2335621265261714,-0.3497405303268189,0.0,0.7638940305265799,False
ETH,7,elastic_net,-0.08874604009289563,-0.10006404311760239,-0.11137950849600224,-0.12721615254017724,-0.14530677190385569,-0.1791971551441061,-0.22430887524240364,-0.3141816194706695,0.0,0.7638940305265799,False
ETH,7,gbm,0.9524446438249851,0.9434703581257229,0.9344884236624837,0.921901364115978,0.9074993484778964,0.8804508883363965,0.8443062174697962,0.7718059836184119,inf,0.7638940305265799,True
SOL,1,ridge,0.33577440244989704,0.2514017877770933,0.1670623254470378,0.049076226567498424,-0.08558175480899247,-0.3372999199391275,-0.670691111352949,-1.3259513752234673,20.0,0.2522006016668531,False
SOL,1,elastic_net,0.08983489698233202,-0.0011931590593996118,-0.09217842224095406,-0.2194478015702061,-0.3646777029091121,-0.6360771237553624,-0.9953295502912968,-1.7004792471488606,5.0,0.2522006016668531,False
SOL,1,gbm,0.5003659433693785,0.48006648817030867,0.4597557278847601,0.431304027822447,0.39876800256687106,0.3377231851028507,0.25629930681354807,0.0936434928667738,123.5,0.2522006016668531,True
SOL,7,ridge,0.5028088652442378,0.48758558597046897,0.472359750409755,0.45104022122136794,0.4266718171026066,0.3809785493819546,0.32006874765942167,0.19841585631376282,166.0,0.23249326282594687,True
SOL,7,elastic_net,0.6445857098641655,0.6314562845476549,0.6183228739472312,0.5999301414870828,0.5789026050304427,0.5394604184134415,0.4868548130432364,0.38168125796278923,inf,0.23249326282594687,True
SOL,7,gbm,0.23563828539259596,0.2313066211940663,0.22697356679686972,0.22090505159577786,0.2139665694308876,0.2009488880401324,0.1835777382840755,0.1487988875143627,inf,0.23249326282594687,False
