predictor,frequency,source,n,years,r2_oos_pct,clark_west,evalue,implied_ir,max_signal_sd,degenerate_fit,ir_ceiling,e_bh_reject
wtexas,Monthly,real time,960,80.0,0.006660922254786428,1.8513257733377129,7.473955743181951,0.22424453224153762,1.1005427145415103,False,0.34799363305262115,False
sntm,Monthly,workbook,641,53.416666666666664,0.42333778667709154,2.027754567089058,5.923720611175665,0.2580835211544475,0.5268269958029789,False,0.6619632642784761,False
i/k,Quarterly,workbook,295,73.75,2.9395380856064635,3.1909590875479963,5.87115025550807,0.21909215270880605,0.8409193657358539,False,0.6545054622110705,False
ogap,Monthly,real time,960,80.0,0.2562978482569922,1.7317258286801658,5.768838551371408,0.2093126112621246,0.20101470726494713,False,0.4611802593187822,False
infl,Monthly,workbook,960,80.0,0.11394672256697103,0.8325804915994011,5.71074856872827,0.20870733773194117,0.3144427917473852,False,0.5127753137575431,False
sntm,Quarterly,workbook,213,53.25,1.4190311068218664,2.2833269436917147,5.328230696671045,0.2506719031936399,0.9318221801225879,False,0.6368419791940151,False
ogap,Annual,workbook,80,80.0,3.657746398520978,2.5410743651078445,4.956650622307866,0.20004563447333737,0.14574243096246473,False,1.4798528571817577,False
ogap,Quarterly,workbook,320,80.0,1.099763722406244,3.3179630902631745,4.837642303510601,0.19852125041602056,0.091950118820149,False,0.9293101380562041,False
vrp,Quarterly,workbook,120,30.0,-98.38260429356612,-0.28331248300918166,4.75553971439153,0.32241900214473407,9.57032336977477,True,1.7391084609270595,False
ndrbl,Monthly,real time,743,61.916666666666664,-0.09367185692479296,0.991637141565113,4.573123546331265,0.22159556924869936,0.31526353820899694,False,0.6165991780229203,False
csp,Monthly,workbook,685,57.083333333333336,-1.0488084867883884,2.065835060345445,4.302344752342967,0.22610585973610026,0.6905505977333051,False,0.46070116381996534,False
tms,Monthly,workbook,960,80.0,-0.08019880261156409,0.783647992781829,3.922755956220588,0.1848509167433804,0.26897898108575763,False,0.7750989323569544,False
tbl,Monthly,workbook,960,80.0,0.06687254989830027,1.4369728562731934,3.4799517314210227,0.1765657401231107,0.5085852534170294,False,0.9146168563995736,False
ndrbl,Annual,workbook,57,57.0,7.300922075724348,2.2786270836723195,3.1401860492968465,0.20037526631808955,1.118973835514105,False,2.1703107249447484,False
cay,Quarterly,workbook,275,68.75,-3.148971570058978,0.8720525070152189,2.961547264656667,0.17771984951269434,1.0884902767673148,False,0.44815957531594464,False
ntis,Monthly,workbook,960,80.0,-0.32570280226886794,0.8591032178727086,2.8400563301537476,0.16154131720225565,0.31608834310278366,False,0.6009011194318566,False
crdstd,Quarterly,real time,122,30.5,-0.17678283458588684,1.0769754799481859,2.6795426280245023,0.2542292909532589,1.1928955969021118,False,1.6642614944261467,False
tail,Annual,workbook,80,80.0,-0.27849690882477685,0.2933106937157427,2.6011234181807916,0.15459167471291518,0.3492911318706883,False,0.4872917468031497,False
gpce,Annual,real time,68,68.0,9.534018361203533,1.997676149596347,2.5869526493741635,0.1671984203187355,0.9373179048052198,False,1.4687850692813982,False
ltr,Annual,workbook,80,80.0,-7.674145203915206,1.6504506702845296,2.130010981928393,0.13748883005020524,2.0837302502641255,False,0.5268120085368487,False
pce,Annual,workbook,62,62.0,10.747626563021683,3.217607991052354,2.126371126557843,0.15600008584864627,1.5747944150461959,False,1.2842842538548351,False
disag,Monthly,real time,468,39.0,-0.6606288730135468,-0.3130493723598846,2.1061312009259177,0.19544199879413277,0.2871776630717001,False,0.9866103193288865,False
lzrt,Annual,workbook,80,80.0,-2.3587341799991224,1.4634572234070742,2.0687050270033716,0.1348075313821583,1.4702037956215401,False,0.9100356024166222,False
vrp,Monthly,real time,360,30.0,-6.203906428859929,-0.035033843434457534,2.042725016650985,0.21821773666914074,3.325772850785076,False,1.3102111731089732,False
lzrt,Monthly,real time,960,80.0,-0.16807612465679078,0.6563440143695285,1.9323014876007762,0.12832690414510473,0.4315550135810602,False,0.39749151141164146,False
eqis,Annual,workbook,80,80.0,0.6744152261928038,1.5934816269501462,1.929865653946252,0.12820397723351615,0.9147490629450238,False,1.1829992024349538,False
lty,Monthly,workbook,960,80.0,-0.5973687485295143,1.375153771144815,1.912477171796513,0.12731843447943494,0.5311150874733198,False,0.5439813856440378,False
d/p,Annual,workbook,80,80.0,0.21661293432782003,0.973689947224536,1.8336545100485093,0.12311691349343512,0.335940307455521,False,0.7557639629237053,False
lzrt,Quarterly,workbook,320,80.0,-3.0151244972792535,0.590293420378249,1.7822023247149499,0.12019253934865065,1.264565788796167,False,0.3550008991453553,False
tms,Quarterly,workbook,320,80.0,-0.4723082612096752,0.4058036057986863,1.778119303593008,0.11995376554366664,0.36610023888722165,False,0.7888923340705009,False
csp,Quarterly,workbook,229,57.25,-0.7206759359495107,0.011686389579325445,1.7720983200163862,0.14137989159011632,0.26815691527710783,False,0.499113951221256,False
dtoat,Monthly,real time,960,80.0,-0.07137089299575905,-0.2019616655651425,1.7005260017073827,0.11521041792877934,0.09434609711878701,False,0.6204990163581797,False
lty,Annual,workbook,80,80.0,-6.438860336135743,0.9437462003635412,1.6607016184357433,0.11260996567582635,1.1715451814542637,False,0.9936487619119988,False
govik,Annual,workbook,68,68.0,-3.6134020075403672,1.0399213743712272,1.6397576303016201,0.12060490241147521,1.0739848941999746,False,1.1307266605948685,False
tbl,Quarterly,workbook,320,80.0,-0.1482195207351822,1.1349560264556602,1.606480906671747,0.10886298894206357,0.7950174244358735,False,0.8787105353924581,False
vp,Quarterly,workbook,108,27.0,4.674860523615787,1.797983390735652,1.5930111429969502,0.18571703403785916,1.3731093132547203,False,1.6627252941088904,False
i/k,Annual,workbook,68,68.0,4.889563882675074,2.053618049686136,1.5781099667458196,0.11583811059021422,1.191686459748278,False,1.2512860067884664,False
tbl,Annual,workbook,80,80.0,-4.590541801975134,0.7931495623272483,1.546090767869109,0.1043706927100109,1.0790993551436305,False,1.0935457388022547,False
skvw,Annual,workbook,80,80.0,-0.1211311045438146,0.5122712947801749,1.5439481786869667,0.1042044730341214,0.5001360263762703,False,0.7872396361092613,False
d/e,Monthly,workbook,960,80.0,-1.5167397381997016,-0.36882183518783396,1.466613090624684,0.09784627260010567,1.2213467233754887,False,0.42127662434102675,False
wtexas,Quarterly,workbook,320,80.0,-2.8034532780539134,0.21847997870147168,1.4640909544443161,0.09762614160177216,1.1701956501089597,False,0.3712949936286966,False
fbm,Annual,workbook,80,80.0,-1.2628123898523969,-1.03717987680951,1.4552440481007551,0.09684699494714362,0.16811422370625567,False,0.757768898598735,False
d/p,Monthly,workbook,960,80.0,-0.0978231556361564,1.3387956235426068,1.4472057113111225,0.096129418175078,0.15734410044266295,False,0.4640088038380696,False
avgcor,Quarterly,workbook,320,80.0,0.9233721046062793,1.5889890394449382,1.440131476214368,0.09549010581556279,0.3715499501159408,False,0.5268436816985438,False
lty,Quarterly,workbook,320,80.0,-1.8612125237819521,1.00693887843937,1.4367168929777339,0.09517885468235275,0.8314659363267554,False,0.5990727071023463,False
dfy,Monthly,workbook,960,80.0,-0.1097957254958315,-0.7539145242344594,1.395719192406209,0.0912975674011918,0.07144273694514829,False,0.37503299876262924,False
rsvix,Quarterly,workbook,98,24.5,-5.70404627837322,0.5398298959794259,1.379464767217435,0.16205203852868924,1.9506152422288283,False,0.9497733096372178,False
d/y,Annual,workbook,80,80.0,-0.22494695585659752,1.3502511438659432,1.3670626700308974,0.0884115944926685,0.507118144061738,False,0.5505737705813379,False
d/e,Annual,workbook,80,80.0,-2.9122490292582404,-0.6858322015142865,1.3654018407169983,0.08823955662239916,0.33588799325656227,False,0.624707412422647,False
ntis,Quarterly,workbook,320,80.0,-2.319333236887422,0.6656793931572366,1.3636110575297655,0.08805344546355581,0.6529282403148572,False,0.6277174749796568,False
dtoat,Quarterly,workbook,320,80.0,-0.09606672016844175,0.17575500653026507,1.3589179811700363,0.08756266056484946,0.16156967878708567,False,0.611351963505646,False
govik,Quarterly,real time,295,73.75,-0.7411490862691217,1.091992170092649,1.3389533533009161,0.08896973077115525,0.5579214084313439,False,0.5046868976170541,False
fbm,Monthly,workbook,960,80.0,-1.5714963724803521,0.16665331672392136,1.3254419299569542,0.08392644634912803,0.43998939518889846,False,0.42291618894348904,False
accrul,Annual,real time,50,50.0,6.6836407869938945,1.358255761353034,1.3179985916050196,0.10509317151837834,0.8511394188504146,False,2.1182315865648547,False
b/m,Annual,workbook,80,80.0,-8.11907351154144,0.8746499711482326,1.273984794694044,0.0778057873791742,1.1534465579489708,False,0.8002047296939009,False
dfr,Annual,workbook,80,80.0,-3.9506690283887425,-0.1762024111238952,1.2641543780567452,0.07655119574595397,0.51110485472942,False,0.6756201826844348,False
rdsp,Monthly,real time,960,80.0,-0.05610226322598777,-0.5267460151544912,1.2600125691346387,0.07601343572311955,0.04184863401270172,False,0.441144243789544,False
e/p,Annual,workbook,80,80.0,0.9508599953676811,1.8213163124336433,1.2588398909500396,0.07586016335514963,1.026476638189993,False,0.5924100759425952,False
tchi,Annual,workbook,64,64.0,-4.825311964683432,-0.6829800693668232,1.2518890564766023,0.08378798685403871,0.6724806899721812,False,0.6320352202953037,False
ndrbl,Quarterly,workbook,248,62.0,-0.48861920568319395,0.817263917894309,1.247055964968739,0.08439262033497008,0.5420383127741448,False,0.5600520155432036,False
tchi,Monthly,real time,779,64.91666666666667,-0.07366604991472236,0.5127085688651989,1.2440556074909348,0.08202382831846043,0.17964902752152143,False,0.6994543445205659,False
svar,Monthly,workbook,960,80.0,-0.30039855875860777,-0.5126066310154205,1.2415931857939995,0.0735519174097359,0.647634716871943,False,0.41138666189741074,False
dtoy,Monthly,real time,960,80.0,-0.5503874155801558,-0.5267119784565375,1.2347096649554128,0.07260093892940303,0.2604668216142067,False,0.42848004907271037,False
disag,Quarterly,workbook,156,39.0,-1.7083390573389146,0.2094472589565184,1.2246353132486196,0.10194093216893707,0.6228280477447921,False,1.5213670927018499,False
d/p,Quarterly,workbook,320,80.0,-1.2855240713285143,1.6087123334593307,1.2183950721022299,0.07027347971066701,0.3944995241566743,False,0.4211171737020004,False
dfy,Quarterly,workbook,320,80.0,-0.45443474287727437,-0.24817376777294167,1.2013293565341323,0.06771793350939305,0.22057314518189153,False,0.5225270180925846,False
d/e,Quarterly,workbook,320,80.0,-4.878991693810719,-0.6045808688028569,1.173889641649772,0.06330930322344848,2.084840773200737,False,0.38386652928604365,False
impvar,Quarterly,workbook,98,24.5,-3.535572376232521,0.36574679466746324,1.1676970586126985,0.11249797572358251,0.8970393963201928,False,1.8429171911518332,False
rsvix,Monthly,workbook,296,24.666666666666668,-3.1145758598803974,-0.8098469646120856,1.1609399609709228,0.10999876713384334,0.596213839774207,False,0.8894753150191462,False
svar,Annual,workbook,80,80.0,-0.18418803336819334,-0.2275361726407453,1.1606667395196517,0.06103167526909887,0.06719122103806457,False,0.7782116500255247,False
sntm,Annual,workbook,48,48.0,-15.162184722350357,0.06295854325442928,1.150488348110693,0.0764271174517692,1.1409761661728794,False,1.0578023993960939,False
impvar,Monthly,real time,296,24.666666666666668,-1.7946596505990842,0.13592462210453055,1.1463411701416197,0.10523151279061306,0.5720565948246851,False,1.1203612429119791,False
wtexas,Annual,workbook,80,80.0,-4.340745111620348,0.8059376593638821,1.1452489309206582,0.058228433839136784,1.3648051840915878,False,1.2211906572133233,False
d/y,Monthly,workbook,960,80.0,-0.753454054296876,1.6365989678529862,1.1356286606806218,0.056388470376780395,0.31019941152916647,False,0.4060931470685833,False
dtoy,Quarterly,workbook,320,80.0,-1.1808961502601134,-1.0097609202912063,1.12756992232697,0.054787043595959754,0.28458077007517685,False,0.4013582004347556,False
gip,Annual,real time,80,80.0,-1.8558017964062756,-1.1071408338153874,1.127405432114422,0.0547537475705802,0.36980636578487097,False,0.11417879064206231,False
d/y,Quarterly,workbook,320,80.0,-3.061763048910504,1.7303166360209474,1.1249937372090855,0.05426266412452274,0.5975983563089633,False,0.40082608965698585,False
disag,Annual,workbook,34,34.0,-11.29791484162146,0.07672831164582118,1.1118405086784606,0.07897012022213107,1.12509170399447,False,3.673267169556764,False
skew,Annual,workbook,59,59.0,-2.9094727639840112,-0.14308805547527975,1.095805045063426,0.05568960409079384,0.5860319390298953,False,1.1307122654162052,False
fbm,Quarterly,workbook,320,80.0,-4.095740177000362,0.008378906139154102,1.0900981869472761,0.04644022285483159,0.6380139317410504,False,0.4592304324658708,False
cfacc,Annual,real time,50,50.0,7.686667717849849,3.3439204939854084,1.0884058663618998,0.058211379577397346,2.884783992508793,False,2.6629065250692596,False
ntis,Annual,workbook,80,80.0,-6.868840814548416,0.27432018248612206,1.0862221213872874,0.04547134599452807,0.9683263075934854,False,1.0621076464052586,False
tail,Monthly,real time,960,80.0,-0.3675407579942114,-0.5179278527698826,1.0813240790465932,0.04421150566597965,0.3066388693292935,False,0.35740003922979635,False
pce,Quarterly,real time,256,64.0,-1.4539477753021446,0.09152182003028335,1.0617873865827216,0.043284560548108184,0.3809519074079378,False,0.36310251502138785,False
dfr,Quarterly,workbook,320,80.0,-5.604051657421971,-2.138021682832482,1.0546887074994473,0.03648481170518829,0.7168175855580688,False,0.14725439473661694,False
dtoat,Annual,workbook,80,80.0,-1.3330171635017152,-0.34131697663866417,1.0454331367895662,0.03332839799169069,0.17584772713125957,False,0.6446377055858054,False
skvw,Monthly,real time,960,80.0,-0.612991755368486,-1.3225324585136278,1.0354521220618673,0.02951193158860934,0.43686949447121126,False,0.17998999907229937,False
cay,Annual,workbook,70,70.0,-2.985285535966553,0.21683405344440476,1.0286811089762438,0.028424086872443872,0.5452208709233914,False,1.3442538579016248,False
avgcor,Monthly,real time,960,80.0,-0.17106877059500647,-0.1797387902885398,1.0216499863769448,0.023140307927366575,0.1339044069858331,False,0.3762408105753634,False
vp,Monthly,real time,324,27.0,0.06668855116350736,0.628615795299931,1.0152878075790588,0.0335240395392791,0.39764792196197857,False,1.1024997457783694,False
house,Annual,real time,80,80.0,-1.039411217823294,0.2616491371517761,1.013736407628799,0.018468160673540474,0.5620954952940429,False,0.37680108498311876,False
rdsp,Annual,workbook,80,80.0,-0.9280267561711852,0.32638373960504763,1.013736407628799,0.018468160673540474,0.3876455409614684,False,0.7063669351449853,False
dfy,Annual,workbook,80,80.0,-0.8967926516425084,-0.7556822427309605,1.013736407628799,0.018468160673540474,0.16522494056170203,False,0.6073481228476495,False
avgcor,Annual,workbook,80,80.0,-7.100369106858828,-0.7137745546151153,1.013736407628799,0.018468160673540474,0.5834027532180573,False,0.45810684690847653,False
dtoy,Annual,workbook,80,80.0,-6.597197127057042,-0.793004466431951,1.013736407628799,0.018468160673540474,0.5033919004331798,False,0.42620639226003415,False
rdsp,Quarterly,workbook,320,80.0,-0.24163418541340853,0.43804352479358283,1.0054897892476469,0.011699118854220827,0.1928900570035254,False,0.5605111662145572,False
ygap,Quarterly,workbook,270,67.5,-2.964945753941217,-0.16310013536286364,1.0002223039180493,0.002566330207065405,0.821264153028374,False,0.4951854892881195,False
