predictor,frequency,span_years,floor_solo,floor_corrected,solo_below_CT,corrected_below_CT
rsvix,Monthly,29.583333333333332,0.4571518895251805,0.7183239474654229,False,False
impvar,Monthly,29.583333333333332,0.4571518895251805,0.7183239474654229,False,False
vp,Monthly,31.916666666666668,0.44012426083084616,0.6915683904176465,False,False
vrp,Monthly,34.916666666666664,0.4207922031644632,0.6611918781604867,False,False
crdstd,Quarterly,35.5,0.417320670165085,0.6557370493716134,False,False
disag,Monthly,44.0,0.3748501892277575,0.5890030727290959,False,False
shtint,Monthly,52.916666666666664,0.34181241525034045,0.5370907329516587,False,False
sntm,Monthly,58.333333333333336,0.32555597891307897,0.5115469524509794,False,False
cfacc,Annual,60.0,0.32100252418581193,0.5043920972502433,False,False
accrul,Annual,60.0,0.32100252418581193,0.5043920972502433,False,False
csp,Monthly,65.58333333333333,0.3070346072407855,0.4824442731950003,False,False
ndrbl,Monthly,67.83333333333333,0.3018995691579987,0.4743755745621589,False,False
skew,Semiannual,68.0,0.3015293672172054,0.47379387529422806,False,False
pce,Quarterly,72.0,0.29303387252111146,0.46044488248549625,False,False
ygap,Monthly,72.66666666666667,0.29168658321211843,0.4583278833064728,False,False
cay,Quarterly,72.75,0.2915194754452018,0.4580653064397155,False,False
tchi,Monthly,74.91666666666667,0.2872730264941317,0.4513928502098807,False,False
gpce,Annual,78.0,0.2815378380549649,0.4423811337684168,False,False
govik,Quarterly,78.75,0.28019397435302396,0.4402695172546223,False,False
i/k,Quarterly,78.75,0.28019397435302396,0.4402695172546223,False,False
house,Annual,96.0,0.25377477777261326,0.3987569652749803,False,False
eqis,Annual,98.0,0.2511718907323812,0.3946670421304253,False,False
avgcor,Monthly,98.75,0.2502162554700753,0.3931654499688579,False,False
gip,Annual,99.0,0.24990012615183832,0.3926687151527306,True,False
ntis,Monthly,99.0,0.24990012615183832,0.3926687151527306,True,False
rdsp,Monthly,99.25,0.24958519203030394,0.39217385835227614,True,False
skvw,Monthly,99.41666666666667,0.24937589623497794,0.39184499132726475,True,False
tail,Monthly,99.41666666666667,0.24937589623497794,0.39184499132726475,True,False
fbm,Monthly,99.5,0.24927144559322945,0.3916808677634882,True,False
ret,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
retx,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
wtexas,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
ogap,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
corpr,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
dtoat,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
lzrt,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
ltr,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
dtoy,Monthly,99.91666666666667,0.24875115396857608,0.3908633321867625,True,False
b/m,Monthly,104.75,0.24294449176989852,0.38173930884195123,True,False
tbl,Monthly,105.91666666666667,0.24160277623091178,0.37963106774216776,True,False
AAA,Monthly,106.91666666666667,0.2404702569815659,0.37785153731385507,True,False
infl,Monthly,112.83333333333333,0.23408056848818054,0.3678114032428569,True,False
svar,Monthly,140.83333333333334,0.20952282611980277,0.3292237590854322,True,False
Rfree,Monthly,154.83333333333334,0.199825929070988,0.3139869996497332,True,False
d12,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
e/p,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
BAA,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
d/y,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
lty,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
d/p,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
dfr,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
dfy,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
tms,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
d/e,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
e12,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
price,Monthly,154.91666666666666,0.19977217629824118,0.3139025377787633,True,False
