predictor,frequency,duty_cycle,peak_period,peak_fraction,evalue,on_period_ir_required
lty,Monthly,0.4,202112,0.9499478623566214,1.912477171796513,0.3952847075210474
ltr,Monthly,0.0,194601,0.0,1.0,
tbl,Monthly,0.6,202112,0.9499478623566214,3.4799517314210227,0.3227486121839514
d/p,Monthly,0.4,195712,0.14911366006256518,1.4472057113111225,0.3952847075210474
d/y,Monthly,0.5,195712,0.14911366006256518,1.1356286606806218,0.35355339059327373
e/p,Monthly,0.2,194601,0.0,1.0,0.5590169943749475
d/e,Monthly,0.5,195309,0.09593326381647549,1.466613090624684,0.35355339059327373
b/m,Monthly,0.2,194601,0.0,1.0,0.5590169943749475
tms,Monthly,0.4,198708,0.5203336809176226,3.922755956220588,0.3952847075210474
dfy,Monthly,0.4,199411,0.6110531803962461,1.395719192406209,0.3952847075210474
dfr,Monthly,0.0,194601,0.0,1.0,
infl,Monthly,0.7,199906,0.6684045881126173,5.71074856872827,0.2988071523335984
ntis,Monthly,0.4,198708,0.5203336809176226,2.8400563301537476,0.3952847075210474
svar,Monthly,0.5,200902,0.7893639207507821,1.2415931857939995,0.35355339059327373
csp,Monthly,0.7,202205,0.9371345029239766,4.302344752342967,0.2988071523335984
vp,Monthly,0.1,200606,0.2755417956656347,1.0152878075790588,0.7905694150420948
impvar,Monthly,0.3,200708,0.2542372881355932,1.1463411701416197,0.45643546458763845
vrp,Monthly,0.4,201701,0.7019498607242339,2.042725016650985,0.3952847075210474
lzrt,Monthly,0.4,200902,0.7893639207507821,1.9323014876007762,0.3952847075210474
ogap,Monthly,0.6,202510,0.9979144942648592,5.768838551371408,0.3227486121839514
wtexas,Monthly,0.6,200808,0.7831074035453598,7.473955743181951,0.3227486121839514
sntm,Monthly,0.3,200409,0.6015625,5.923720611175665,0.45643546458763845
ndrbl,Monthly,0.6,200107,0.605121293800539,4.573123546331265,0.3227486121839514
skvw,Monthly,0.0,194711,0.022940563086548488,1.0354521220618673,
