predictor,n,r2_oos_pct,clark_west,evalue,implied_ir,ir_ceiling,source,vintage,e_bh_reject
wtexas,960,0.006660922254786428,1.8513257733377129,7.473955743181951,0.22424453224153762,0.34799363305262115,GWZ,real time,False
ogap,960,0.2562978482569922,1.7317258286801658,5.768838551371408,0.2093126112621246,0.4611802593187822,GWZ,real time,False
infl,960,0.11394672256697103,0.8325804915994011,5.71074856872827,0.20870733773194117,0.5127753137575431,classic,as published,False
ndrbl,743,-0.09367185692479296,0.991637141565113,4.573123546331265,0.22159556924869936,0.6165991780229203,GWZ,real time,False
tms,960,-0.08019880261156409,0.783647992781829,3.922755956220588,0.1848509167433804,0.7750989323569544,classic,as published,False
tbl,960,0.06687254989830027,1.4369728562731934,3.4799517314210227,0.1765657401231107,0.9146168563995736,classic,as published,False
ntis,960,-0.32570280226886794,0.8591032178727086,2.8400563301537476,0.16154131720225565,0.6009011194318566,classic,as published,False
disag,468,-0.6606288730135468,-0.3130493723598846,2.1061312009259177,0.19544199879413277,0.9866103193288865,GWZ,real time,False
vrp,360,-6.203906428859929,-0.035033843434457534,2.042725016650985,0.21821773666914074,1.3102111731089732,GWZ,real time,False
lzrt,960,-0.16807612465679078,0.6563440143695285,1.9323014876007762,0.12832690414510473,0.39749151141164146,GWZ,real time,False
lty,960,-0.5973687485295143,1.375153771144815,1.912477171796513,0.12731843447943494,0.5439813856440378,classic,as published,False
dtoat,960,-0.07137089299575905,-0.2019616655651425,1.7005260017073827,0.11521041792877934,0.6204990163581797,GWZ,real time,False
fbm_5,960,-0.8806077546143598,-0.47424133435058297,1.6448695507106987,0.1115415932055244,0.45008713405607087,GWZ,real time,False
fbm_1,960,-0.9236777882377645,-0.6070379860196476,1.593749943742179,0.10794555278305512,0.43986311676853784,GWZ,real time,False
d/e,960,-1.5167397381997016,-0.36882183518783396,1.466613090624684,0.09784627260010567,0.42127662434102675,classic,as published,False
d/p,960,-0.0978231556361564,1.3387956235426068,1.4472057113111225,0.096129418175078,0.4640088038380696,classic,as published,False
dfy,960,-0.1097957254958315,-0.7539145242344594,1.395719192406209,0.0912975674011918,0.37503299876262924,classic,as published,False
rsvix_4,296,-1.685729005851977,-0.4325987178521913,1.3232201077380026,0.15069252069905698,0.9697364748224424,GWZ,real time,False
rsvix_3,290,-1.2635236272456662,-0.4381105562205506,1.2956019144735826,0.14639824362634615,1.2068095079797347,GWZ,real time,False
rdsp,960,-0.05610226322598777,-0.5267460151544912,1.2600125691346387,0.07601343572311955,0.441144243789544,GWZ,real time,False
tchi,779,-0.07366604991472236,0.5127085688651989,1.2440556074909348,0.08202382831846043,0.6994543445205659,GWZ,real time,False
svar,960,-0.30039855875860777,-0.5126066310154205,1.2415931857939995,0.0735519174097359,0.41138666189741074,classic,as published,False
dtoy,960,-0.5503874155801558,-0.5267119784565375,1.2347096649554128,0.07260093892940303,0.42848004907271037,GWZ,real time,False
rsvix_2,296,-2.275483336329498,-0.5795178162121735,1.213671426034759,0.12530503387020242,0.8574660020719953,GWZ,real time,False
rsvix_1,296,-3.1145758598803974,-0.8098469646120862,1.1609399609709228,0.10999876713384334,0.8894753150191437,GWZ,real time,False
impvar,296,-1.7946596505990842,0.13592462210453055,1.1463411701416197,0.10523151279061306,1.1203612429119791,GWZ,real time,False
d/y,960,-0.753454054296876,1.6365989678529862,1.1356286606806218,0.056388470376780395,0.4060931470685833,classic,as published,False
tail,960,-0.3675407579942114,-0.5179278527698826,1.0813240790465932,0.04421150566597965,0.35740003922979635,GWZ,real time,False
skvw,960,-0.612991755368486,-1.3225324585136278,1.0354521220618673,0.02951193158860934,0.17998999907229937,GWZ,real time,False
sntm_1,521,-0.4936835317012722,-0.306593694869719,1.0271965416724744,0.03515796250705724,0.5323310240629829,GWZ,real time,False
fbm_6,298,-0.9849230748643301,-1.1603973123709979,1.0232808439918848,0.04305200142616654,1.2768490162771795,GWZ,real time,False
avgcor,960,-0.17106877059500647,-0.1797387902885398,1.0216499863769448,0.023140307927366575,0.3762408105753634,GWZ,real time,False
vp,324,0.06668855116350736,0.628615795299931,1.0152878075790588,0.0335240395392791,1.1024997457783694,GWZ,real time,False
shtint,515,-0.1489546085722493,0.9883746354779692,1.0,0.0,0.9960174004141555,GWZ,real time,False
ltr,960,-0.9853812919878635,-0.5625364619424088,1.0,0.0,0.27492337315716314,classic,as published,False
sntm_5,521,-0.5137545471048721,-0.3745016729655954,1.0,0.0,0.5196562144261059,GWZ,real time,False
dfr,960,-0.429385919553682,-0.23023166577389415,1.0,0.0,0.3620866897532852,classic,as published,False
fbm_2,298,-0.8159831810464091,-1.4116965392346301,1.0,0.0,1.2403904957658074,GWZ,real time,False
b/m,960,-1.3463795749195206,0.5858686682039008,1.0,0.0,0.45840646619290576,classic,as published,False
e/p,960,-0.7919899821936305,1.5549381257723978,1.0,0.0,0.4036431693220707,classic,as published,False
ygap,812,-1.0232154179885766,-0.45818223847651685,1.0,0.0,0.3856163000638278,GWZ,real time,False
