predictor,n,r2_oos_pct,clark_west,evalue,certified,implied_ir,ir_ceiling
infl,960,0.11394672256697103,0.8325804915994011,5.71074856872827,False,0.20870733773194117,0.5127753137575431
tms,960,-0.08019880261156409,0.783647992781829,3.922755956220588,False,0.1848509167433804,0.7750989323569544
tbl,960,0.06687254989830027,1.4369728562731934,3.4799517314210227,False,0.1765657401231107,0.9146168563995736
ntis,960,-0.32570280226886794,0.8591032178727086,2.8400563301537476,False,0.16154131720225565,0.6009011194318566
lty,960,-0.5973687485295143,1.375153771144815,1.912477171796513,False,0.12731843447943494,0.5439813856440378
d/e,960,-1.5167397381997016,-0.36882183518783396,1.466613090624684,False,0.09784627260010567,0.42127662434102675
d/p,960,-0.0978231556361564,1.3387956235426068,1.4472057113111225,False,0.096129418175078,0.4640088038380696
dfy,960,-0.1097957254958315,-0.7539145242344594,1.395719192406209,False,0.0912975674011918,0.37503299876262924
svar,960,-0.30039855875860777,-0.5126066310154205,1.2415931857939995,False,0.0735519174097359,0.41138666189741074
d/y,960,-0.753454054296876,1.6365989678529862,1.1356286606806218,False,0.056388470376780395,0.4060931470685833
e/p,960,-0.7919899821936305,1.5549381257723978,1.0,False,0.0,0.4036431693220707
b/m,960,-1.3463795749195206,0.5858686682039008,1.0,False,0.0,0.45840646619290576
ltr,960,-0.9853812919878635,-0.5625364619424088,1.0,False,0.0,0.27492337315716314
dfr,960,-0.429385919553682,-0.23023166577389415,1.0,False,0.0,0.3620866897532852
