predictor,n,dm,dm_p,cw,cw_p,enc_t,enc_p
d/p,960,-0.1556860333721331,0.5618597466609403,1.3380981524749291,0.0904322214789639,1.3380981524749298,0.0904322214789639
d/y,960,-0.7301015381175068,0.76733593938083,1.6357463504635996,0.0509463422308607,1.6357463504635992,0.05094634223086081
e/p,960,-0.7318769383051067,0.7678781583417242,1.5541280511533269,0.06007693764750699,1.5541280511533273,0.06007693764750688
d/e,960,-1.3296101017814854,0.908176615972776,-0.3686296904312726,0.6437981189945678,-0.3686296904312724,0.6437981189945678
b/m,960,-1.4117126688972554,0.9209827092366056,0.5855634487676072,0.2790844585069743,0.5855634487676065,0.2790844585069746
ntis,960,-0.40202606348693637,0.6561675775215476,0.8586556516960061,0.195265262336197,0.8586556516960065,0.1952652623361968
tbl,960,0.08542319512442113,0.4659624767575784,1.436224237907055,0.07546927209858711,1.4362242379070562,0.075469272098587
lty,960,-0.5272683878953138,0.7009963882252082,1.3744373586079695,0.08465297240891545,1.3744373586079688,0.08465297240891545
ltr,960,-1.7996324592142379,0.9640406538838215,-0.5622433978631574,0.7130249015049422,-0.5622433978631581,0.7130249015049425
tms,960,-0.17181321056087662,0.5682078102778876,0.7832397364411273,0.21674317221416772,0.7832397364411319,0.2167431722141664
dfy,960,-0.9280184920704785,0.8233010112895571,-0.7535217581102687,0.7744317792585267,-0.753521758110259,0.7744317792585238
dfr,960,-0.8676916801875538,0.8072184291660713,-0.2301117222045275,0.5909975218542949,-0.2301117222045273,0.5909975218542948
infl,960,0.38948627704380323,0.3484582300829866,0.8321467429418775,0.20266306025013092,0.8321467429418827,0.20266306025012937
svar,960,-0.6333637969994246,0.736751949573169,-0.5123395788321429,0.6957933150853388,-0.5123395788321405,0.695793315085338
