predictor,ours_unrestricted,ours_ct,published_ct,gap,sign_agrees
d/p,-0.0978231556361564,-0.06619444525444163,-0.06,-0.006194445254441627,True
d/y,-0.753454054296876,-0.24739241239284393,-0.06,-0.18739241239284393,True
e/p,-0.7919899821936305,-0.714495098403578,-0.64,-0.07449509840357804,True
d/e,-1.5167397381997016,-0.6559323042589771,-0.93,0.27406769574102297,True
b/m,-1.3463795749195206,-1.0318200393638621,-1.06,0.028179960636137924,True
ntis,-0.32570280226886794,-0.3207283474745859,-0.47,0.14927165252541408,True
tbl,0.06687254989830027,0.22333520855185585,0.37,-0.14666479144814415,True
lty,-0.5973687485295143,0.1740305172475587,0.25,-0.07596948275244131,True
ltr,-0.9853812919878635,-0.8329334986199477,-0.82,-0.012933498619947748,True
tms,-0.08019880261156409,-0.07553257692702875,0.02,-0.09553257692702875,False
dfy,-0.1097957254958315,-0.1097957254958315,-0.12,0.010204274504168498,True
dfr,-0.429385919553682,-0.4000180051029423,-0.3,-0.10001800510294229,True
infl,0.11394672256697103,0.1434925161981071,0.1,0.043492516198107095,True
svar,-0.30039855875860777,-0.020271877080291212,-0.01,-0.010271877080291212,True
