predictor,n,r2_oos_pct,clark_west,evalue,implied_ir,ir_ceiling,source,vintage,e_bh_reject,n_rev,r2_oos_pct_rev,clark_west_rev,evalue_rev,implied_ir_rev,ir_ceiling_rev,source_rev,vintage_rev,evalue_gap,r2_gap
wtexas,960,0.006660922254786428,1.8513257733377129,7.473955743181951,0.22424453224153762,0.34799363305262115,GWZ,real time,False,960,0.006660922254786428,1.8513257733377129,7.473955743181951,0.22424453224153762,0.34799363305262115,GWZ,revised,0.0,0.0
ogap,960,0.2562978482569922,1.7317258286801658,5.768838551371408,0.2093126112621246,0.4611802593187822,GWZ,real time,False,960,0.3003939107260156,3.3936729039412232,15.775718443357562,0.26260578585356614,0.9245290899241452,GWZ,revised,10.006879891986154,0.04409606246902342
ndrbl,743,-0.09367185692479296,0.991637141565113,4.573123546331265,0.22159556924869936,0.6165991780229203,GWZ,real time,False,743,-0.09367185692479296,0.991637141565113,4.573123546331265,0.22159556924869936,0.6165991780229203,GWZ,revised,0.0,0.0
disag,468,-0.6606288730135468,-0.3130493723598846,2.1061312009259177,0.19544199879413277,0.9866103193288865,GWZ,real time,False,468,-0.6606288730135468,-0.3130493723598846,2.1061312009259177,0.19544199879413277,0.9866103193288865,GWZ,revised,0.0,0.0
vrp,360,-6.203906428859929,-0.035033843434457534,2.042725016650985,0.21821773666914074,1.3102111731089732,GWZ,real time,False,360,-6.203906428859929,-0.035033843434457534,2.042725016650985,0.21821773666914074,1.3102111731089732,GWZ,revised,0.0,0.0
lzrt,960,-0.16807612465679078,0.6563440143695285,1.9323014876007762,0.12832690414510473,0.39749151141164146,GWZ,real time,False,960,-0.16807612465679078,0.6563440143695285,1.9323014876007762,0.12832690414510473,0.39749151141164146,GWZ,revised,0.0,0.0
dtoat,960,-0.07137089299575905,-0.2019616655651425,1.7005260017073827,0.11521041792877934,0.6204990163581797,GWZ,real time,False,960,-0.07137089299575905,-0.2019616655651425,1.7005260017073827,0.11521041792877934,0.6204990163581797,GWZ,revised,0.0,0.0
fbm_5,960,-0.8806077546143598,-0.47424133435058297,1.6448695507106987,0.1115415932055244,0.45008713405607087,GWZ,real time,False,960,-0.8741368858965926,0.5039135215877532,1.3070485378418277,0.08181863644463419,0.469254608025358,GWZ,revised,-0.337821012868871,0.006470868717767253
fbm_1,960,-0.9236777882377645,-0.6070379860196476,1.593749943742179,0.10794555278305512,0.43986311676853784,GWZ,real time,False,960,-1.5714963724803743,0.1666533167239179,1.3254419299569538,0.08392644634912798,0.4229161889434886,GWZ,revised,-0.2683080137852252,-0.6478185842426099
rsvix_4,296,-1.685729005851977,-0.4325987178521913,1.3232201077380026,0.15069252069905698,0.9697364748224424,GWZ,real time,False,296,-1.685729005851977,-0.4325987178521913,1.3232201077380026,0.15069252069905698,0.9697364748224424,GWZ,revised,0.0,0.0
rsvix_3,290,-1.2635236272456662,-0.4381105562205506,1.2956019144735826,0.14639824362634615,1.2068095079797347,GWZ,real time,False,290,-1.2635236272456662,-0.4381105562205506,1.2956019144735826,0.14639824362634615,1.2068095079797347,GWZ,revised,0.0,0.0
rdsp,960,-0.05610226322598777,-0.5267460151544912,1.2600125691346387,0.07601343572311955,0.441144243789544,GWZ,real time,False,960,-0.05610226322598777,-0.5267460151544912,1.2600125691346387,0.07601343572311955,0.441144243789544,GWZ,revised,0.0,0.0
tchi,779,-0.07366604991472236,0.5127085688651989,1.2440556074909348,0.08202382831846043,0.6994543445205659,GWZ,real time,False,839,-0.03288718481284647,0.7363049956060429,1.380193424515739,0.09600709926667458,0.6218119414995739,GWZ,revised,0.1361378170248042,0.040778865101875894
dtoy,960,-0.5503874155801558,-0.5267119784565375,1.2347096649554128,0.07260093892940303,0.42848004907271037,GWZ,real time,False,960,-0.5503874155801558,-0.5267119784565375,1.2347096649554128,0.07260093892940303,0.42848004907271037,GWZ,revised,0.0,0.0
rsvix_2,296,-2.275483336329498,-0.5795178162121735,1.213671426034759,0.12530503387020242,0.8574660020719953,GWZ,real time,False,296,-2.275483336329498,-0.5795178162121735,1.213671426034759,0.12530503387020242,0.8574660020719953,GWZ,revised,0.0,0.0
rsvix_1,296,-3.1145758598803974,-0.8098469646120862,1.1609399609709228,0.10999876713384334,0.8894753150191437,GWZ,real time,False,296,-3.1145758598803974,-0.8098469646120862,1.1609399609709228,0.10999876713384334,0.8894753150191437,GWZ,revised,0.0,0.0
impvar,296,-1.7946596505990842,0.13592462210453055,1.1463411701416197,0.10523151279061306,1.1203612429119791,GWZ,real time,False,296,-1.7946596505990842,0.13592462210453055,1.1463411701416197,0.10523151279061306,1.1203612429119791,GWZ,revised,0.0,0.0
tail,960,-0.3675407579942114,-0.5179278527698826,1.0813240790465932,0.04421150566597965,0.35740003922979635,GWZ,real time,False,960,-0.3675407579942114,-0.5179278527698826,1.0813240790465932,0.04421150566597965,0.35740003922979635,GWZ,revised,0.0,0.0
skvw,960,-0.612991755368486,-1.3225324585136278,1.0354521220618673,0.02951193158860934,0.17998999907229937,GWZ,real time,False,960,-0.612991755368486,-1.3225324585136278,1.0354521220618673,0.02951193158860934,0.17998999907229937,GWZ,revised,0.0,0.0
fbm_6,298,-0.9849230748643301,-1.1603973123709979,1.0232808439918848,0.04305200142616654,1.2768490162771795,GWZ,real time,False,320,-0.7102758140369314,-0.0949475713957792,1.037767847669711,0.05272957393541273,0.7489573576241467,GWZ,revised,0.014487003677826182,0.27464726082739865
avgcor,960,-0.17106877059500647,-0.1797387902885398,1.0216499863769448,0.023140307927366575,0.3762408105753634,GWZ,real time,False,960,-0.17106877059500647,-0.1797387902885398,1.0216499863769448,0.023140307927366575,0.3762408105753634,GWZ,revised,0.0,0.0
vp,324,0.06668855116350736,0.628615795299931,1.0152878075790588,0.0335240395392791,1.1024997457783694,GWZ,real time,False,324,0.06668855116350736,0.628615795299931,1.0152878075790588,0.0335240395392791,1.1024997457783694,GWZ,revised,0.0,0.0
shtint,515,-0.1489546085722493,0.9883746354779692,1.0,0.0,0.9960174004141555,GWZ,real time,False,575,-0.8805520002694411,-0.8509490516478334,1.0033111746638148,0.011746371510561909,0.44562787011464944,GWZ,revised,0.0033111746638148087,-0.7315973916971918
fbm_2,298,-0.8159831810464091,-1.4116965392346301,1.0,0.0,1.2403904957658074,GWZ,real time,False,320,-6.021439840629683,-0.5229850336597519,1.074380131242697,0.07335387166129227,0.8933836915944398,GWZ,revised,0.07438013124269705,-5.205456659583274
ygap,812,-1.0232154179885766,-0.45818223847651685,1.0,0.0,0.3856163000638278,GWZ,real time,False,812,-1.0232154179885766,-0.45818223847651685,1.0,0.0,0.3856163000638278,GWZ,revised,0.0,0.0
