phi,rho_on,exact,simulated,rel_error_vs_sim,approx,approx_overstates_pct
0.1,0.14,0.043886500434690306,0.04432236872492355,0.00993171672190822,0.04427188724235732,0.8781443128292432
0.1,0.58,0.1606925660093568,0.16071984265272024,0.00016974427654512864,0.18341210428976598,14.138512343555632
0.1,1.7,0.28329398967788666,0.2827535554104069,0.001907679962057184,0.5375872022286244,89.7630100941698
0.25,0.14,0.06949110375816134,0.06939196185999981,0.0014266847524332874,0.07,0.7323185477233096
0.25,0.58,0.2591455810250615,0.258980756429397,0.0006360308943434604,0.29,11.906210730236054
0.25,1.7,0.4775959264711613,0.4772956216717847,0.0006287842561712621,0.85,77.97471730557686
0.4,0.14,0.08802768456896536,0.08840377597342487,0.004272421867064643,0.08854377448471464,0.5862813707714354
0.4,0.58,0.3346067225712232,0.3350273329776751,0.0012570291571544442,0.36682420857953196,9.62846345726096
0.4,1.7,0.6502489535064324,0.6506994977943036,0.0006928796816075332,1.0751744044572489,65.34811761855654
0.5,0.14,0.09851341054817479,0.09911249449498563,0.0060812425788251,0.09899494936611666,0.48880534666535524
0.5,0.58,0.3794498581231155,0.37968325751722054,0.0006150994370099913,0.41012193308819755,8.083301207910921
0.5,1.7,0.7687665737984288,0.768317442464458,0.0005842232860772184,1.2020815280171309,56.36495771111889
0.75,0.14,0.12094759702446607,0.12075371507150139,0.0016030244315268748,0.12124355652982141,0.24470060806207616
0.75,0.58,0.48241849897597133,0.4824468003906265,5.8665691127573365e-05,0.5022947341949744,4.120122935002346
0.75,1.7,1.1217599690471884,1.1215639647809428,0.0001747292394576605,1.4722431864335457,31.24404748406686
0.9,0.14,0.1326856934008441,0.13329765071229968,0.0046120820999657735,0.13281566172707193,0.09795202700202399
0.9,0.58,0.541208482251329,0.5403153434046577,0.0016502676435446997,0.550236312869298,1.6680874217667174
0.9,1.7,1.4205081095761496,1.420883446378374,0.0002642271449871125,1.6127616066858734,13.534135835879768
1.0,0.14,0.14,0.14009788647340304,0.0006991890957359319,0.14,0.0
1.0,0.58,0.58,0.5799151825019551,0.00014623706559465158,0.58,0.0
1.0,1.7,1.7,1.6995508107067643,0.000264228996020985,1.7,0.0
