asset,h,model,cw_mean,p_mean,holm_mean,bh_mean,p_monte_carlo,p_romano_wolf
BTC,1,elastic_net,2.666693472622694,0.0038300750982075,0.0689413517677357,0.0346647352311134,0.001999000499750125,0.051974012993503245
BTC,1,ridge,2.664806011433384,0.0038516372479014,0.0689413517677357,0.0346647352311134,0.004997501249375313,0.051974012993503245
SOL,7,elastic_net,2.2807235389106912,0.0112824056825261,0.1805184909204182,0.0676944340951568,0.022488755622188907,0.12493753123438281
SOL,7,ridge,2.005867105920081,0.0224352143095395,0.3365282146430931,0.1009584643929279,0.04097951024487756,0.22038980509745126
SOL,1,gbm,1.870345987144607,0.0307178936664703,0.4300505113305852,0.1036986195207455,0.014992503748125937,0.26036981509245377
ETH,1,ridge,1.7579897181876658,0.0393746293944268,0.5118701821275486,0.1036986195207455,0.031484257871064465,0.3103448275862069
BTC,1,gbm,1.7469011757920507,0.0403272409247343,0.5118701821275486,0.1036986195207455,0.027486256871564217,0.3103448275862069
BTC,7,elastic_net,1.5430765605248082,0.0614061005514181,0.6754671060655997,0.1381637262406908,0.07846076961519241,0.40379810094952523
SOL,1,elastic_net,1.4260791568859532,0.0769227472293296,0.7692274722932968,0.1481581229521989,0.06346826586706647,0.45377311344327836
BTC,7,ridge,1.363837437868542,0.0863093672812842,0.7767843055315582,0.1481581229521989,0.10744627686156921,0.4757621189405297
SOL,1,ridge,1.3374305121315444,0.0905410751374549,0.7767843055315582,0.1481581229521989,0.08045977011494253,0.4757621189405297
ETH,1,elastic_net,1.2496173048071983,0.1057196893135021,0.7767843055315582,0.1585795339702532,0.08195902048975512,0.4757621189405297
ETH,1,gbm,1.084952588852422,0.138971327180446,0.8338279630826761,0.1924218376344637,0.12843578210894552,0.5082458770614693
BTC,7,gbm,1.0225639737088832,0.153257025291541,0.8338279630826761,0.1970447468034099,0.15292353823088456,0.5082458770614693
SOL,7,gbm,0.3738533104518818,0.354256727274832,1.0,0.4251080727297984,0.32983508245877063,0.672663668165917
ETH,7,gbm,-0.3561200787390733,0.6391246795034549,1.0,0.7190152644413867,0.5742128935532234,0.7656171914042978
ETH,7,ridge,-1.6246597675315513,0.9478824627853876,1.0,0.963919890249722,0.8910544727636182,0.9035482258870565
ETH,7,elastic_net,-1.7981059501930416,0.963919890249722,1.0,0.963919890249722,0.9130434782608695,0.9130434782608695
